Title,Author(s),Journal,Year,DOI,Environment ,Phage Type,All Software Used,Sequence Analysis Pipeline,Phage Taxa,Notes
"A Unique Isolation of a Lytic Bacteriophage Infected Bacillus anthracis Isolate from Pafuri, South Africa","Ayesha Hassim, Kgaugelo Edward Lekota, David Schalk van Dyk, Edgar Henry Dekker, and Henriette van Heerden",Microorganisms,2020,https://doi.org/10.3390/microorganisms8060932,blood,dsDNA,"GLC Genomics Workbench,PHASTER,BLASTn,MAFFT7,MEGA7",PHASTER,Myoviridae,
Diversity and comparative genomics of Microviridae in Sphagnum- dominated peatlands,"Achim Quaiser, Alexis Dufresne, Flore Ballaud, Simon Roux, Yvan Zivanovic, Jonathan Colombet, Télesphore Sime-Ngando and André-Jean Francez",Frontiers in Microbiology,2015,https://doi.org/10.3389/fmicb.2015.00375,plant tissue,ssDNA,"CAMERA,Prodigal,BLASTn,GENOMAPPER,Artemis,BLASTn",manual,"Microviridae,Gokushovirinae",
Seasonal dynamics in taxonomy and function within bacterial and viral metagenomic assemblages recovered from a freshwater agricultural pond,"Chopyk, J and Nasko, DJ and Allard, S and Bui, A and Pop, M and Mongodin, EF and Sapkota, AR",Environmental Microbiome,2020,https://doi.org/10.1186/s40793-020-00365-8,pond,dsDNA,"MetaGene,BLASTp,Bowtie2,MAFFT",manual,"Siphoviridae,Myoviridae",
Initial Mapping of the New York City Wastewater Virome,"Gulino, K and Rahman, J and Badri, M and Morton, J and Bonneau, R and Ghedin, E",mSystems,2020,https://doi.org/10.1128/mSystems.00876-19,wastewater,mixed,"virMAP,VirSorter,PHASTER,HUMAnN2,Prodigal,HMMER","VirSorter,HUMAnN2,PHASTER",mixed,Metagenomic data taken from previous environmental sample https://doi.org/10.1038/s41396-019-0467-z
Elucidating Viral Communities During a Phytoplankton Bloom on the West Antarctic Peninsula,"Alarcon-Schumacher, T and Guajardo-Leiva, S and Anton, J and Diez, B",Frontiers in Microbiology,2019,https://doi.org/10.3389/fmicb.2019.01014,marine,dsDNA,"BLASTn,VirFam,Bowtie2,MEGAN6,Spades,Ray-meta,Prodigal","Virfam,MEGAN",mixed,"Mixed taxa, Myoviridae most relatively abundant family but ssDNA and RNA viruses were also classified"
"Broad Environmental Tolerance for a Salicola Host-Phage Pair Isolated from the Cargill Solar Saltworks, Newark, CA, USA","Rodela, ML and Sabet, S and Peterson, A and Dillon, JG",Microorganisms,2019,https://doi.org/10.3390/microorganisms7040106,pond,dsDNA,"BLASTp,Geneious Prime,MUSCLE",manual,Siphoviridae,"Cultures did not fully clear, possible temperate phage or resistant bacteria"
Filamentous phages reduce bacterial growth in low salinities,"Goehlich, H and Roth, O and Wendling, CC",Royal Society Open Science,2019,https://doi.org/10.1098/rsos.191669,marine,ssDNA,NA,NA,Inoviridae   ,Used spectrometry to quantify phage prevalence. filamentous virus. environmental samples were taken from fin clip of pipefish 
Coupled virus - bacteria interactions and ecosystem function in an engineered microbial system,"Brown, MR and Baptista, JC and Lunn, M and Swan, DL and Smith, SJ and Davenport, RJ and Allen, BD and Sloan, WT and Curtis, TP",Water Research,2019,https://doi.org/10.1016/j.watres.2019.01.003,wastewater,mixed,NA,NA,mixed,"Sludge plant sample sight. Looks mostly at relative abundance of OTUs, DADA2 pipeline used for identification of bacteria"
Growth velocity in children with Environmental Enteric Dysfunction is associated with specific bacterial and viral taxa of the gastrointestinal tract in Malawian children,"Desai, C and Handley, SA and Rodgers, R and Rodriguez, C and Ordiz, MI and Manary, MJ and Holtz, LR",PLOS Neglected Tropical Diseases,2020,https://doi.org/10.1371/journal.pntd.0008387,fecal,dsDNA,"VirusSeeker,MEGAN CE,BLAST","VirusSeeker,MEGAN",mixed,"Stool sample, no host specified but mixed bacteria found in metagenomic sequencing"
Metatranscriptomic reconstruction reveals RNA viruses with the potential to shape carbon cycling in soil,"Starr, EP and Nuccio, EE and Pett-Ridge, J and Banfield, JF and Firestone, MK",PNAS,2019,https://doi.org/10.1073/pnas.1908291116,sediment ,ssRNA,"HMMER,Pfam,MAFFT,Bowtie2,USEARCH,Prodigal,Geneious ORF",manual,"Narnaviridae,Leviviridae","Tracked RNA viral and host communities for 22 d in 2 soil environments central to carbon cycling, the rhizosphere and detritosphere"
"Viral Diversity and Its Relationship With Environmental Factors at the Surface and Deep Sea of Prydz Bay, Antarctica","Gong, Z and Liang, YT and Wang, M and Jiang, Y and Yang, QW and Xia, J and Zhou, XH and You, SY and Gao, C and Wang, J and He, JF and Shao, HB and McMinn, A",Frontiers in Microbiology,2018,https://doi.org/10.3389/fmicb.2018.02981,marine,mixed,"Metavir2,Velvet,Bowtie2,BLASTp,MetaGeneAnnotator",MetaVir,mixed,No host association analyzed 
Virioplankton Assemblage Structure in the Lower River and Ocean Continuum of the Amazon,"Silva, BSD and Coutinho, FH and Gregoracci, GB and Leomil, L and de Oliveira, LS and Froes, A and Tschoeke, D and Soares, AC and Cabral, AS and Ward, ND and Richey, JE and Krusche, AV and Yager, PL and de Rezende, CE and Thompson, CC and Thompson, FL",mSphere,2017,https://doi.org/10.1128/mSphere.00366-17,freshwater,mixed,"Spades,Diamond,VirFinder,VirSorter,HUMAnN2","VirSorter,HUMAnN2,VirFinder","Microviridae,Myoviridae",
Genomic characteristics and environmental distributions of the uncultivated Far-T4 phages,"Roux, S and Enault, F and Ravet, V and Pereira, O and Sullivan, MB",Frontiers in Microbiology,2015,https://doi.org/10.3389/fmicb.2015.00199,"marine, freshwater",dsDNA,"Metavir2,BLASTp,MetaGeneAnnotator,HMMER,MUSCLE",MetaVir,mixed,T4 like phages. Sampling from https://doi.org/10.1083/jcb.201112098
Phages can constrain protist predation-driven attenuation of Pseudomonas aeruginosa virulence in multienemy communities,"Friman, VP and Buckling, A",ISME Journal,2014,https://doi.org/10.1038/ismej.2014.40,freshwater,dsDNA,NA,NA,Podoviridae,"No sequencing, plated colonies measured and OD measured. Phage was isolated in previous study "
Shotgun metagenomics indicates novel family A DNA polymerases predominate within marine virioplankton,"Schmidt, HF and Sakowski, EG and Williamson, SJ and Polson, SW and Wommack, KE",ISME Journal,2014,https://doi.org/10.1038/ismej.2013.124,marine,mixed,"MetaGeneAnnotator,BLAST,VIROME,MUSCLE",VIROME,Microviridae,"Compared abundance of ssDNA, dsDNA and unclassified virioplankton. Multiple "
