"","title","author","source","abstract","keywords","research_areas","year"
"1","Fitness benefits to bacteria of carrying prophages and prophage-encoded antibiotic-resistance genes peak in different environments","Wendling, CC and Refardt, D and Hall, AR","EVOLUTION","Understanding the role of horizontal gene transfer (HGT) in adaptation is a key challenge in evolutionary biology. In microbes, an important mechanism of HGT is prophage acquisition (phage genomes integrated into bacterial chromosomes). Prophages can influence bacterial fitness via the transfer of beneficial genes (including antibiotic-resistance genes, ARGs), protection from superinfecting phages, or switching to a lytic lifecycle that releases free phages infectious to competitors. We expect these effects to depend on environmental conditions because of, for example, environment-dependent induction of the lytic lifecycle. However, it remains unclear how costs/benefits of prophages vary across environments. Here, studying prophages with/without ARGs in Escherichia coli, we disentangled the effects of prophages alone and adaptive genes they carry. In competition with prophage-free strains, benefits from prophages and ARGs peaked in different environments. Prophages were most beneficial when induction of the lytic lifecycle was common, whereas ARGs were more beneficial upon antibiotic exposure and with reduced prophage induction. Acquisition of prophage-encoded ARGs by competing strains was most common when prophage induction, and therefore free phages, were common. Thus, selection on prophages and adaptive genes they carry varies independently across environments, which is important for predicting the spread of mobile/integrating genetic elements and their role in evolution.","Antibiotic resistance; fitness; lysogen; mobile genetic elements; and prophage; temperate phage","Environmental Sciences & Ecology; Evolutionary Biology; Genetics & and Heredity","2021"
"2","Seasonal dynamics in taxonomy and function within bacterial and viral metagenomic assemblages recovered from a freshwater agricultural pond","Chopyk, J and Nasko, DJ and Allard, S and Bui, A and Pop, M and Mongodin, EF and Sapkota, AR","ENVIRONMENTAL MICROBIOME","Background Ponds are important freshwater habitats that support both human and environmental activities. However, relative to their larger counterparts (e.g. rivers, lakes), ponds are understudied, especially with regard to their microbial communities. Our study aimed to fill this knowledge gap by using culture-independent, high-throughput sequencing to assess the dynamics, taxonomy, and functionality of bacterial and viral communities in a freshwater agricultural pond. Results Water samples (n = 14) were collected from a Mid-Atlantic agricultural pond between June 2017 and May 2018 and filtered sequentially through 1 and 0.2 mu m filter membranes. Total DNA was then extracted from each filter, pooled, and subjected to 16S rRNA gene and shotgun sequencing on the Illumina HiSeq 2500 platform. Additionally, on eight occasions water filtrates were processed for viral metagenomes (viromes) using chemical concentration and then shotgun sequenced. A ubiquitous freshwater phylum, Proteobacteria was abundant at all sampling dates throughout the year. However, environmental characteristics appeared to drive the structure of the community. For instance, the abundance of Cyanobacteria (e.g. Nostoc) increased with rising water temperatures, while a storm event appeared to trigger an increase in overall bacterial diversity, as well as the relative abundance of Bacteroidetes. This event was also associated with an increase in the number of antibiotic resistance genes. The viral fractions were dominated by dsDNA of the order Caudovirales, namely Siphoviridae and Myovirdae. Conclusions Overall, this study provides one of the largest datasets on pond water microbial ecology to date, revealing seasonal trends in the microbial taxonomic composition and functional potential.","Metagenome; Shotgun; Agricultural irrigation; Antibiotic resistance; and Microbial communities; Bacteria; Bacteriophage","Genetics & Heredity; Microbiology","2020"
"3","Comprehensive metagenomic insights into a unique mass gathering and bathing event reveals transient influence on a riverine ecosystem","Yadav, R and Rajput, V and Gohil, K and Khairnar, K and Dharne, M","ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY","The religious mass gathering and bathing can pose a multitude of significant public health challenges and lead to severe alterations in the river microbial ecology. The Pandharpur Wari is an annual pilgrimage of Maharashtra, India, where millions of devotees carry the footprints of the saint-poets and pay their obeisance to Lord Vitthal on the 11th day of moon's waxing phase (Ashadi Ekadashi). As a part of the ritual, the engrossed devotees, walk over 250 km, take a first holy dip in a sacred river Indrayani at Alandi and secondly in Bhima River at Pandharpur. The MinION-based shotgun metagenomic approach was employed to examine the impact of spiritual mass bathing on environmental changes (concerning the river microbial community structure and functions); and public health aspects (in terms of changes in the pathogenic potential and antibiotic resistance). The analysis of bathing and post-bathing samples of both the rivers revealed alterations in the alpha and beta diversity, indicating significant spatiotemporal variations in the overall microbial structure and function. Furthermore, the analysis revealed up to 80% of differences in the abundance of virulence genes between the bathing and post bathing samples. We observed parallel increase of priority skin and enteric pathogens (ranging from 11% to 80%) such as Acinetobacter baumannii, Staphylococcus aureus, Streptococcus pyogenes, Mycobacterium tuberculosis, and Pseudomonas aeruginosa during the bathing event. Moreover, we observed a significant increase in the antibiotic resistance in the bathing samples of Bhima and Indrayani rivers respectively. Altogether, this is the first comprehensive metagenomic study unravelling the influence of religious mass-bathing on the riverine ecosystem.","Mass bathing; Virulence genes; Antibiotic resistance; Priority and pathogens; MinION sequencing","Environmental Sciences & Ecology; Toxicology","2020"
"4","Quantification of Lysogeny Caused by Phage Coinfections in Microbial Communities from Biophysical Principles","Luque, A and Silveira, CB","MSYSTEMS","Temperate phages can associate with their bacterial host to form a lysogen, often modifying the phenotype of the host. Lysogens are dominant in the microbially dense environment of the mammalian gut. This observation contrasts with the long-standing hypothesis of lysogeny being favored at low microbial densities, such as in oligotrophic marine environments. Here, we hypothesized that phage coinfections-a well-understood molecular mechanism of lysogenization-increase at high microbial abundances. To test this hypothesis, we developed a biophysical model of coinfection for marine and gut microbiomes. The model stochastically sampled ranges of phage and bacterial concentrations, adsorption rates, lysogenic commitment times, and community diversity from each environment. In 90% of the sampled marine communities, less than 10% of the bacteria were predicted to be lysogenized via coinfection. In contrast, 25% of the sampled gut communities displayed more than 25% of lysogenization. The probability of lysogenization in the gut was a consequence of the higher densities and higher adsorption rates. These results suggest that, on average, coinfections can form two trillion lysogens in the human gut every day. In marine microbiomes, which were characterized by lower densities and phage adsorption rates, lysogeny via coinfection was still possible for communities with long lysogenic commitment times. Our study indicates that different physical factors causing coinfections can reconcile the traditional view of lysogeny at poor host growth (long commitment times) and the recent Piggyback-the-Winner framework proposing that lysogeny is favored in rich environments (high densities and adsorption rates). IMPORTANCE The association of temperate phages and bacterial hosts during lysogeny manipulates microbial dynamics from the oceans to the human gut. Lysogeny is well studied in laboratory models, but its environmental drivers remain unclear. Here, we quantified the probability of lysogenization caused by phage coinfections, a well-known trigger of lysogeny, in marine and gut microbial environments. Coinfections were quantified by developing a biophysical model that incorporated the traits of viral and bacterial communities. Lysogenization via coinfection was more frequent in highly productive environments like the gut, due to higher microbial densities and higher phage adsorption rates. At low cell densities, lysogenization occurred in bacteria with long duplication times. These results bridge the molecular understanding of lysogeny with the ecology of complex microbial communities.","stochastic biophysical model; lysogeny; microbial abundance; and multiplicity of infection; adsorption rates; commitment time","Microbiology","2020"
"5","Growth velocity in children with Environmental Enteric Dysfunction is associated with specific bacterial and viral taxa of the gastrointestinal tract in Malawian children","Desai, C and Handley, SA and Rodgers, R and Rodriguez, C and Ordiz, MI and Manary, MJ and Holtz, LR","PLOS NEGLECTED TROPICAL DISEASES","Environmental enteric dysfunction (EED) is characterized by diffuse villous atrophy of the small bowel. EED is strongly associated with stunting, a major public health problem linked to increased childhood morbidity and mortality. EED and subsequent stunting of linear growth are surmised to have microbial origins. To interrogate this relationship, we defined the comprehensive virome (eukaryotic virus and bacteriophage) and bacterial microbiome of a longitudinal cohort of rural Malawian children with extensive metadata and intestinal permeability testing at each time point. We found thirty bacterial taxa differentially associated with linear growth. We detected many eukaryotic viruses. Neither the total number of eukaryotic families nor a specific viral family was statistically associated with improved linear growth. We identified 3 differentially abundant bacteriophage among growth velocities. Interestingly, there was a positive correlation between bacteria and bacteriophage richness in children with subsequent adequate/moderate growth which children with subsequent poor growth lacked. This suggests that a disruption in the equilibrium between bacteria and bacteriophage communities might be associated with subsequent poor growth. Future studies of EED and stunting should include the evaluation of viral communities in addition to bacterial microbiota to understand the complete microbial ecology of these poorly understood entities. Author summary Stunting (poor linear growth) is a major global problem. Stunting affects one-third of the half-billion preschool children in low and middle-income countries and is associated with similar to 20% of all-cause deaths before age five. Stunting is believed to be a consequence of environmental enteric dysfunction (EED). EED is a gut inflammatory process that is endemic in children living in low and middle-income countries. EED and, by extension, stunting are thought to have microbial origins. However, attempts to find specific pathogens that drive (or protect from) EED have not been fruitful. Here, we define the comprehensive gut virome, which includes viruses that infect humans and animals and viruses that infect bacteria (bacteriophage) and the bacterial gut microbiome in rural Malawian children. These participants are very well characterized (with careful growth measurements and intestinal permeability testing), enabling us to more precisely correlate the populations of viruses and bacteria in their stool with how well, or how poorly, the children are growing. We found thirty bacterial species and three bacteriophage that were differentially associated with linear growth in the three months after sampling. We found a positive correlation between bacteria and bacteriophage richness in children with subsequent adequate and moderate linear growth which children with subsequent poor growth lacked. Our data suggest that disrupting the bacteria-bacteriophage equilibrium between bacteria and bacteriophage communities might impair childhood linear growth.",NA,"Infectious Diseases; Parasitology; Tropical Medicine","2020"
"6","Initial Mapping of the New York City Wastewater Virome","Gulino, K and Rahman, J and Badri, M and Morton, J and Bonneau, R and Ghedin, E","MSYSTEMS","Bacteriophages are abundant members of all microbiomes studied to date, influencing microbial communities through interactions with their bacterial hosts. Despite their functional importance and ubiquity, phages have been underexplored in urban environments compared to their bacterial counterparts. We profiled the viral communities in New York City (NYC) wastewater using metagenomic data collected in November 2014 from 14 wastewater treatment plants. We show that phages accounted for the largest viral component of the sewage samples and that specific virus communities were associated with local environmental conditions within boroughs. The vast majority of the virus sequences had no homology matches in public databases, forming an average of 1,700 unique virus clusters (putative genera). These new clusters contribute to elucidating the overwhelming proportion of data that frequently goes unidentified in viral metagenomic studies. We assigned potential hosts to these phages, which appear to infect a wide range of bacterial genera, often outside their presumed host. We determined that infection networks form a modular-nested pattern, indicating that phages include a range of host specificities, from generalists to specialists, with most interactions organized into distinct groups. We identified genes in viral contigs involved in carbon and sulfur cycling, suggesting functional importance of viruses in circulating pathways and gene functions in the wastewater environment. In addition, we identified virophage genes as well as a nearly complete novel virophage genome. These findings provide an understanding of phage abundance and diversity in NYC wastewater, previously uncharacterized, and further examine geographic patterns of phagehost association in urban environments. IMPORTANCE Wastewater is a rich source of microbial life and contains bacteria, viruses, and other microbes found in human waste as well as environmental runoff sources. As part of an effort to characterize the New York City wastewater metagenome, we profiled the viral community of sewage samples across all five boroughs of NYC and found that local sampling sites have unique sets of viruses. We focused on bacteriophages, or viruses of bacteria, to understand how they may influence the microbial ecology of this system. We identified several new clusters of phages and successfully associated them with bacterial hosts, providing insight into virus-host interactions in urban wastewater. This study provides a first look into the viral communities present across the wastewater system in NYC and points to their functional importance in this environment.","bacteriophage; metagenomics; virome","Microbiology","2020"
"7","Assembly-free single-molecule sequencing recovers complete virus genomes from natural microbial communities","Beaulaurier, J and Luo, E and Eppley, JM and Den Uyl, P and Dai, XG and Burger, A and Turner, DJ and Pendelton, M and Juul, S and Harrington, E and DeLong, EF","GENOME RESEARCH","Viruses are the most abundant biological entities on Earth and play key roles in host ecology, evolution, and horizontal gene transfer. Despite recent progress in viral metagenomics, the inherent genetic complexity of virus populations still poses technical difficulties for recovering complete virus genomes from natural assemblages. To address these challenges, we developed an assembly-free, single-molecule nanopore sequencing approach, enabling direct recovery of complete virus genome sequences from environmental samples. Our method yielded thousands of full-length, high-quality draft virus genome sequences that were not recovered using standard short-read assembly approaches. Additionally, our analyses discriminated between populations whose genomes had identical direct terminal repeats versus those with circularly permuted repeats at their termini, thus providing new insight into native virus reproduction and genome packaging. Novel DNA sequences were discovered, whose repeat structures, gene contents, and concatemer lengths suggest they are phage-inducible chromosomal islands, which are packaged as concatemers in phage particles, with lengths that match the size ranges of co-occurring phage genomes. Our new virus sequencing strategy can provide previously unavailable information about the genome structures, population biology, and ecology of naturally occurring viruses and viral parasites.",NA,"Biochemistry & Molecular Biology; Biotechnology & Applied Microbiology; and Genetics & Heredity","2020"
"8","Charting the diversity of uncultured viruses of Archaea and Bacteria","Coutinho, FH and Edwards, RA and Rodriguez-Valera, F","BMC BIOLOGY","Background Viruses of Archaea and Bacteria are among the most abundant and diverse biological entities on Earth. Unraveling their biodiversity has been challenging due to methodological limitations. Recent advances in culture-independent techniques, such as metagenomics, shed light on the unknown viral diversity, revealing thousands of new viral nucleotide sequences at an unprecedented scale. However, these novel sequences have not been properly classified and the evolutionary associations between them were not resolved. Results Here, we performed phylogenomic analysis of nearly 200,000 viral nucleotide sequences to establish GL-UVAB: Genomic Lineages of Uncultured Viruses of Archaea and Bacteria. The pan-genome content of the identified lineages shed light on some of their infection strategies, potential to modulate host physiology, and mechanisms to escape host resistance systems. Furthermore, using GL-UVAB as a reference database for annotating metagenomes revealed elusive habitat distribution patterns of viral lineages and environmental drivers of community composition. Conclusions These findings provide insights about the genomic diversity and ecology of viruses of prokaryotes. The source code used in these analyses is freely available at .","Viruses; Phylogenomics; Bacteriophages; Metagenomics; Genomics; and Classification","Life Sciences & Biomedicine - Other Topics","2019"
"9","Metatranscriptomic reconstruction reveals RNA viruses with the potential to shape carbon cycling in soil","Starr, EP and Nuccio, EE and Pett-Ridge, J and Banfield, JF and Firestone, MK","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF and AMERICA","Viruses impact nearly all organisms on Earth, with ripples of influence in agriculture, health, and biogeochemical processes. However, very little is known about RNA viruses in an environmental context, and even less is known about their diversity and ecology in soil, 1 of the most complex microbial systems. Here, we assembled 48 individual metatranscriptomes from 4 habitats within a planted soil sampled over a 22-d time series: Rhizosphere alone, detritosphere alone, rhizosphere with added root detritus, and unamended soil (4 time points and 3 biological replicates). We resolved the RNA viral community, uncovering a high diversity of viral sequences. We also investigated possible host organisms by analyzing metatranscriptome marker genes. Based on viral phylogeny, much of the diversity was Narnaviridae that may parasitize fungi or Leviviridae, which may infect Proteobacteria. Both host and viral communities appear to be highly dynamic, and rapidly diverged depending on experimental conditions. The viral and host communities were structured based on the presence of root litter. Clear temporal dynamics by Leviviridae and their hosts indicated that viruses were replicating. With this time-resolved analysis, we show that RNA viruses are diverse, abundant, and active in soil. When viral infection causes host cell death, it may mobilize cell carbon in a process that may represent an overlooked component of soil carbon cycling.","virus; phage; soil; rhizosphere; metatranscriptome","Science & Technology - Other Topics","2019"
"10","Filamentous phages reduce bacterial growth in low salinities","Goehlich, H and Roth, O and Wendling, CC","ROYAL SOCIETY OPEN SCIENCE","Being non-lytic, filamentous phages can replicate at high frequencies and often carry virulence factors, which are important in the evolution and emergence of novel pathogens. However, their net effect on bacterial fitness remains unknown. To understand the ecology and evolution between filamentous phages and their hosts, it is important to assess (i) fitness effects of filamentous phages on their hosts and (ii) how these effects depend on the environment. To determine how the net effect on bacterial fitness by filamentous phages changes across environments, we constructed phage-bacteria infection networks at ambient 15 practical salinity units (PSU) and stressful salinities (11 and 7 PSU) using the marine bacterium, Vibrio alginolyticus and its derived filamentous phages as model system. We observed no significant difference in network structure at 15 and 11 PSU. However, at 7 PSU phages significantly reduced bacterial growth changing network structure. This pattern was mainly driven by a significant increase in bacterial susceptibility. Our findings suggest that filamentous phages decrease bacterial growth, an indirect measure of fitness in stressful environmental conditions, which might impact bacterial communities, alter horizontal gene transfer events and possibly favour the emergence of novel pathogens in environmental Vibrios.","phage-bacteria infection network; Vibrio; filamentous phages; salinity and changes","Science & Technology - Other Topics","2019"
